Select,Outcome_Statement,Outcome_Metric_Or_Criteria,Context_Of_Importance,Current_Pain_Point_If_Not_Achieved,Source_Document_Reference,Evidence_Snippets,Keywords,Context_Of_Importanza,Context_Of_Importace,Context_Of_Important,DesiredOutcomes,Reason_Of_Importance
true,Increase the effectiveness of odor protection to last at least 24 hours,Duration of odor control in hours,Users seek reliable protection to stay fresh throughout their active day without reapplication.,"Odor re-emerges within a few hours, causing discomfort and self-consciousness.",Post ID 3691772971307089897,"['Long-lasting odor protection', 'Keeps you feeling confident all day long.']","['odor protection', 'long-lasting', 'confidence']",,,,,
true,Ensure the deodorant is suitable for sensitive skin with no irritation,Number of users reporting irritation or skin reactions,Users with sensitive skin require gentle formulations that do not cause redness or discomfort.,Irritation and allergic reactions discourage use and cause discomfort.,Post ID 3689559212479812924,"['Made with gentle, effective ingredients', 'Care for your skin AND the planet.']","['sensitive skin', 'gentle', 'no irritation']",,,,,
true,Be able to use deodorant without leaving white marks on clothing,Presence or absence of white marks after application,Users want a clean look without visible residue after applying deodorant.,White marks and stains on clothes reduce confidence and require additional cleaning.,Post ID 3689559212479812924,"[""Doesn't leave white marks"", 'No visible residue.']","['white marks', 'residue', 'clean appearance']",,,,,
true,Be able to choose a deodorant scent that matches personal preferences and mood,User satisfaction rating with scent options,Users want personalized and appealing fragrances that enhance their confidence.,Limited scent options lead to dissatisfaction or reluctance to use the product.,Post ID 3293468155208239622,"['New scent launch', 'Exotic floral with green undertone.']","['scent choice', 'personalization', 'fragrance']",,,,,
true,Increase the natural ingredients content in deodorant formulations to 99%,Percentage of natural ingredients in the product,"Users seeking natural, chemical-free options prioritize ingredient transparency and safety.",Presence of synthetic chemicals causes health concerns and dissatisfaction.,Post ID 3144529344255294076,"['Contains 99% natural ingredients', 'Without aluminum and chemicals.']","['natural ingredients', 'chemical-free', 'health']",,,,,
true,Allow users to easily identify and purchase deodorants with eco-friendly and reusable packaging,Availability of refillable packaging options and user feedback,Environmentally conscious users prefer sustainable products and packaging.,Limited eco-friendly options reduce user engagement and satisfaction.,Post ID 3594936110364751117,"['Refillable packaging', 'Eco-friendly and stylish designs.']","['eco-friendly', 'refillable', 'sustainable']",,,,,
true,Enable users to find deodorants that also improve skin tone and texture over 30 days,Visible skin improvements assessed over 30 days,Users desire multifunctional products that promote skin health alongside odor control.,Lack of visible skin benefits leads to perceptions of limited efficacy.,Post ID 3691982060971327189,"['Transforms skin in just 30 days', 'Gently improves skin tone and texture.']","['skin improvement', 'texture', '30 days']",,,,,
true,"Be able to use natural deodorant options that are free from baking soda, reducing risk of skin irritation",User reports of skin reactions or discomfort,Users with sensitive skin or reactions to baking soda need safe alternatives.,Reactions to baking soda cause discomfort and hinder product use.,Post ID 3692034564587461110,"['Baking soda-free formula', 'Great for sensitive skin.']","['baking soda-free', 'sensitive skin', 'safe']",,,,,
true,Be able to experience a natural deodorant that keeps me smelling fresh throughout the day.,Duration of fresh scent and absence of odor for at least 8 hours.,The user is concerned about smelling good without synthetic ingredients and wants a product that performs reliably all day.,Feeling self-conscious about body odor and smelling funky in public.,Wildrefill Instagram post by Priscilla (post_id: 3216406472627314347),"[""It smells so good. This one has lavender, but then it also has a bit of a minty, fragrance, mintyness to it. And this is how I'm going to be smelling in time."", ""I'm happy. I'm happy. Oh, this is vanilla. Actually, I'm such a vanilla lover. So I can smell this all day."", 'Whether, you know, it actually makes me smell fresh all day long.']","['natural deodorant', 'fresh scent', 'long-lasting', 'smell good', 'chemical-free']",,,,,
true,Reduce the amount of plastic waste by using refillable deodorant containers.,"Number of refills used per month and usage of sustainable packaging (paper refills, refillable containers).",The user values eco-responsibility and wants to minimize their environmental footprint.,Accumulation of single-use plastic waste from traditional deodorant packaging.,Wildrefill Instagram post by Priscilla (post_id: 3216406472627314347),"['And so it comes in like your plastic container. Well, you pop it open and then the refills come in this paper bits and then you pop it in there.', 'I love the concept, I’ve had also quite a few of your positive feedbacks.', ""They are doing their bits to say the planet's from single use plastic.""]","['refillable', 'sustainable packaging', 'eco-friendly', 'plastic waste reduction', 'zero waste']",,,,,
true,Ensure that natural deodorants are effective in preventing sweat and odor without causing irritation.,"Absence of sweat marks, odor control lasting at least 12 hours, and no skin irritation or rash.","The user seeks a safe, gentle product that offers reliable protection without compromising skin health.","Discomfort, irritation, or ineffective odor control leading to discomfort and potential skin issues.",Deborah Williams Instagram post by the.opinionated.freebie.seeker (post_id: 3689336473153621658),"['I’ve been testing the Super Fresh Lady Natural Whole Body Deodorant, and wow… game changer!', 'Zero irritation, even after shaving!', 'Final verdict: Freshness that actually lasts, minus the toxins.']","['effectiveness', 'odor control', 'skin-friendly', 'long-lasting', 'irritation-free']",,,,,
true,Be able to make or purchase natural deodorants that are free from harmful chemicals such as aluminum and synthetic fragrances.,"Product ingredient list confirms absence of aluminum, parabens, and synthetic fragrances.",The user is concerned about health and endocrine disruption linked to chemical ingredients in conventional deodorants.,Exposure to potentially harmful chemicals causing health concerns or skin reactions.,Mountain Rose Herbs DIY deodorant recipe (post_id: 3403360590632358806),"[""Many of us have done the 'deodorant yo-yo' where we decide to make the switch only to find we're not satisfied."", 'Ingredients: Beeswax, Cacao butter, Kokum butter, Coconut oil, Vitamin E oil, Essential oils of choice, Arrowroot powder, Corn starch, Bentonite clay powder.', 'The toxins I am referring to are aluminum and fragrance.']","['non-toxic', 'chemical-free', 'aluminum-free', 'fragrance-free', 'natural ingredients']",,,,,
true,"Be able to customize natural deodorant scents to personal preference (e.g., lavender, vanilla, cherry blossom).",User reports satisfaction with scent choice and scent lasting for several hours.,The user wants a deodorant that not only functions well but also aligns with their personal fragrance preferences.,"Displeasure with scent or scent fading quickly, leading to dissatisfaction.",Wildrefill Instagram post by Priscilla (post_id: 3216406472627314347),"['This one is a lavender. It smells so good.', 'This one is vanilla. I can smell this all day.', 'I’m going to be smelling in time.']","['customizable scent', 'personal preference', 'long-lasting fragrance', 'natural scent', 'aromatherapy']",,,,,
true,Be able to produce or find natural deodorants that are safe for sensitive skin and shaving.,"Reports of no skin irritation or rash after use, and suitability for sensitive areas.","The user seeks gentle products that do not cause irritation, especially after shaving.","Skin irritation, rash, or discomfort leading to avoidance or discontinuation.",Deborah Williams Instagram post (post_id: 3689336473153621658),"['It’s designed for underarms and those more sensitive areas.', 'Zero irritation, even after shaving!']","['sensitive skin', 'gentle', 'irritation-free', 'rash-free', 'post-shave comfort']",,,,,
true,Support sustainable and natural ingredients in personal care products.,"Use of natural, organic, or eco-conscious ingredients as indicated by product labels or certifications.","Users prioritize health, environmental impact, and ingredient transparency in their personal care choices.","Concerns about exposure to synthetic chemicals, environmental harm, and irritation from conventional products.",Post #3689783592452672942,"['Locally handmade with essential oils', 'Available in cardboard pushup tubes', 'natural skincare']","['natural ingredients', 'eco-friendly', 'sustainable', 'personal care', 'green beauty']",,,,,
true,Achieve long-lasting freshness and odor control using natural deodorants.,"Duration of effective odor control, measured in hours or days without reapplication; user-reported freshness.",Users seek effective alternatives to synthetic antiperspirants that provide all-day freshness naturally.,"Unpleasant odors, reliance on chemical antiperspirants, or frequent reapplication needed.",Post #3688828814595553132,"['Fresh pits, no plastic', 'Wild’s natural deodorant – refillable, aluminum-free, and packed in compostable refills']","['long-lasting', 'natural deodorant', 'odor control', 'sustainability', 'chemical-free']",,,,,
true,Provide effective deodorant protection that is safe and suitable for sensitive skin.,"User-reported skin comfort, absence of irritation, and effectiveness over daily use.","Users with sensitive skin need gentle, non-irritating options that still prevent odor.","Skin irritation, allergic reactions, or ineffective odor control.",Post #3688136113042801629,"['Sensitive pits & conscious souls', 'Gentle, natural ingredients', 'Effective, safe protection']","['sensitive skin', 'gentle', 'effective', 'non-irritating', 'safe']",,,,,
true,"Reduce environmental impact by using refillable, biodegradable, or zero-waste packaging.","Adoption of refillable containers, biodegradable packaging, or reduction in plastic waste.",Environmental consciousness drives users to choose eco-friendly packaging options.,"Excess plastic waste, non-sustainable packaging contributing to pollution.",Post #3691641804499855220,"['Refillable, aluminum-free, and packed in compostable refills', 'Plastic-free, biodegradable packaging']","['refillable', 'biodegradable', 'zero waste', 'eco-friendly', 'sustainable packaging']",,,,,
true,"Experience a pleasant, natural scent that enhances confidence without overpowering.","User satisfaction with scent, subjective feeling of freshness, and scent longevity.","Users desire a refreshing, uplifting scent from natural ingredients that boosts confidence daily.","Unpleasant or overpowering artificial scents, scent fading quickly.",Post #3687213264108525933,"['Light, refreshing scent of essential oils', 'Effective, safe protection that lets your skin breathe']","['natural scent', 'uplifting', 'refreshing', 'essential oils', 'confidence']",,,,,
true,"Use products that support overall health and well-being, including mental focus and stress relief.","Improved attention span, reduced stress, or enhanced mood as reported by users.",Users seeking holistic health benefits and mental clarity from natural herbal products.,Difficulty maintaining focus or managing stress without effective natural support.,Post #3690345766075489338,"['Help increase attention span and independent focus', 'Proven through scientific research']","['mental focus', 'stress relief', 'herbal health', 'natural wellness']",,,,,
true,Enjoy a luxurious scent experience that lasts long and enhances daily wellness routines.,"Duration of scent longevity, user satisfaction with scent quality.","Users value a memorable, luxurious scent that complements their personal care routine.",Scent fading quickly or scent being too overpowering or artificial.,Post #3560752921169216372,"['Máxima protección con un aroma lujoso', 'Long lasting protection']","['luxurious scent', 'long-lasting', 'personal care', 'aroma', 'scent experience']",,,,,
true,Select the appropriate foot care product (Rounder or Cream) based on individual needs.,Proper product selection aligned with skin type and desired results.,To ensure effective skincare without unnecessary use of multiple products or causing skin irritation.,Using incorrect product leading to ineffective results or skin issues.,tw&oe=68937084,"['你選的滾足款就不需要用Cream的用了Cream款的話也是不需要用Cour', '這兩款基本上你只需要選一款就購物所以要是你選的滾足款就不選用Cream了用了Cream款的話也是不需要用滾足款的其中一個就購物']","['foot care', 'product selection', 'skin type', 'effective skincare']",,,,,
true,Maintain underarm freshness and odor control with natural deodorant during summer or active days.,Ability to stay odor-free and feeling fresh for at least 24 hours.,To feel confident and comfortable in hot or active situations without synthetic chemicals.,"Persistent body odor, discomfort, and reliance on chemical-based products.","Various posts (e.g., posts by ALANI Organics, Bacon Magazine, DeckOut, etc.)","['It keeps you fresh all day without blocking your pores or loading your skin with chemicals—because your underarms deserve better than that.', 'Smell like heaven—no matter the heat.', 'Our award-winning, plant-based deodorant keeps you fresh without aluminum or baking soda — just six clean, long-lasting scents that actually work.']","['natural deodorant', 'odor control', 'summer freshness', 'long-lasting', 'chemical-free']",,,,,
true,Successfully transition to natural deodorant via the armpit detox process.,Reduction or elimination of synthetic deodorant-related toxins and improvement in skin health.,To detoxify and reduce health risks associated with synthetic ingredients like aluminum.,"Persistent body odor, skin irritation, potential health risks like cysts or hormone disruption.",post by @kimderamo and @holistafresh,"['Here’s my armpit detox mask that I learned from my friend @life.withkate It’s a great way to pull out the TOXINS in your armpit from synthetic deodorant.', 'Putting aluminum in your armpits like you know Inviting a bouncer to block your pores right security Yeah, sure is gonna stop sweating odor.', 'This is hugely terrifying for the body. You’re gonna feel better. It can be helping you reverse problems with fertility or other female organ related problems.']","['armpit detox', 'toxins removal', 'health improvement', 'natural transition']",,,,,
true,Ensure consistent and effective use of natural deodorant for odor and sweat management.,"Regular application as recommended (e.g., daily for 7-14 days), maintaining odor-free and fresh feeling.",To successfully switch from synthetic to natural deodorant and maintain freshness.,"Continued body odor, skin irritation, or ineffective odor control.",post by @kind_ly,"['When making the switch, use The Armpit Detox daily for 7-14 days or longer if needed.', 'Once you’ve made the switch, the underarm mask makes a great maintenance treatment used once a week or whenever you feel the need for a freshen up!']","['deodorant transition', 'daily use', 'odor control', 'maintenance']",,,,,
true,Achieve 100% odor elimination in armpits during heavy sweating conditions.,No detectable body odor during heavy sweating or in hot weather.,"To stay fresh and confident without traditional deodorants, especially in high temperatures or after physical activity.",Experiencing unpleasant body odor leading to discomfort and social embarrassment.,Comments from user experiences with natural deodorants,"['I have been using Lemon/lime ... NO SMELL!! I sweat but there is no smell!', 'Get this I rubbed under my arm that next morning and to my surprise no odor I promise you', 'This asmr is so satisfying! I do love good asmr sound 😍']","['odor elimination', 'natural deodorant', 'sweating', 'body odor', 'confidence']",,,,,
true,Reduce skin irritation and rashes caused by natural deodorant ingredients such as lemon or lime to less than 5% of users.,Incidence of skin irritation or rashes reported by users below 5%.,To make natural deodorants safe and suitable for sensitive skin users.,"Skin burns, darkening, or rashes leading to discomfort and discontinuation of use.",User comments about skin irritation from lemon/lime use,"['So I have done the lemon for like a month and i was getting burn marks under my arm', 'Lemon as deodorant can help with body odor, but it can be pretty irritating and cause brutal rashes in the sun.']","['skin irritation', 'rash', 'sensitive skin', 'natural ingredients', 'deodorant safety']",,,,,
true,Maintain skin darkness and pigmentation levels under the armpits within normal limits when using natural deodorants.,No increase in darkness or hyperpigmentation of underarm skin after 3 months of use.,"To ensure natural deodorant use does not worsen skin darkening, which is a common concern.","Darkening of underarms, leading to cosmetic concerns and discomfort.",User advice about avoiding lemon with whitening creams and darkening issues,"['never use lemon with lightening cream … that’s gonna irritate your skin causing more darkness', 'So for me..... my armpit hairs barely grow anymore! So for me, and POSSIBLY YOU TOO, could eventually have the same results!']","['darkening', 'hyperpigmentation', 'skin color', 'armpit skin', 'cosmetic concerns']",,,,,
true,"Achieve at least 24 hours of odor-free underarm condition using natural methods such as alum stone, magnesium spray, or baking soda.",No detectable odor 24 hours post-application.,"To provide a reliable, natural alternative to chemical deodorants for daily use.",Persistent body odor causing social discomfort and hygiene concerns.,"User mentions of alum, magnesium, baking soda usage","['Alum powder and musk powder and cornstarch ... smells amazing', 'Magnesium spray works great', 'I just use a pat of baking soda. I have found it soooooo effective!']","['odor control', 'natural deodorant', 'alum stone', 'magnesium', 'baking soda']",,,,,
true,"Reduce or eliminate the need for commercial deodorant products through natural alternatives like lemon, lime, alum, or magnesium oil, achieving at least 2 weeks of odor-free underarms.",No need to reapply commercial deodorants for at least 14 days.,"To rely on natural, chemical-free solutions for long-term odor management.",Dependence on chemical deodorants and their potential skin irritation.,User reports of stopping deodorant use after natural methods,"['I haven’t used deodorant for 3 years, i use lime. It works amazing🍋\u200d🟩🍋\u200d🟩🍋\u200d🟩', 'I started using rubbing alcohol two weeks ago and have not had to use deodorant.']","['long-term odor control', 'natural alternatives', 'deodorant free', 'reliability']",,,,,
true,Ensure that natural deodorant methods like lemon or lime do not cause skin burns or rashes when used regularly.,Less than 2% of users report skin burns or rashes after 1 month of use.,To make natural deodorants safe and usable without causing harm or irritation.,"Skin burns, rashes, or hyperpigmentation leading to discomfort and discontinuation.",User experience with lemon causing burns,"['Just to be sure I had stopped then restarted and same so had to stop', 'Please do not do this and wear a tank tops in the sun. The chemical reaction of the sun and the lime juice equals 3rd degree burns.']","['skin burns', 'rash', 'safety', 'irritation', 'natural deodorant']",,,,,
true,Increase the effectiveness of natural deodorant to ensure all-day freshness without odor.,Odor-free for at least 12 hours; user reports of feeling fresh all day.,Users want to avoid unpleasant body odor while using natural products that may be less effective than antiperspirants.,"Feeling musty, uncomfortable, and self-conscious due to body odor; dissatisfaction with natural deodorant performance.",Text excerpt from user comments about natural deodorants smelling like body odor or not lasting long.,"['I tried natural deodorant once last year and I smelled like the middle school me 😂😂😂', 'Not enough ppl tell yall natural deodorant wearers that yall be MUSTY…', 'I smelled like full-court basketball at the LA Fitness.']","['natural deodorant', 'odor control', 'long-lasting', 'stink-free', 'effective']",,,,,
true,Reduce underarm odor within 1-2 days of using magnesium spray as an alternative to traditional deodorants.,Noticeable reduction in odor within 24-48 hours; user reports of less body odor.,"Users seeking natural, chemical-free solutions for body odor that are effective and easy to use.","Persistent body odor despite using natural or no deodorant, leading to discomfort and social concerns.","Comments discussing magnesium spray as a natural deodorant alternative, mentioning odor reduction within a day or two.","['You’ll likely notice a reduction in odor within a day or two.', 'A healthier alternative - a tap in our bio is all it takes!', 'Magnesium in what chemical form?… I put it on the bottom of my feet.']","['magnesium spray', 'odor reduction', 'natural deodorant', 'body odor', 'healthier']",,,,,
true,Ensure underarm dryness and odor control during physical activities without the use of aluminum-based antiperspirants.,"Dry, odor-free underarms during and after workouts; user reports of no sweat or smell.","Users want to stay fresh and dry during exercise, preferring natural or aluminum-free options.","Feeling sweaty, musty, and self-conscious after workouts; dissatisfaction with current natural options.","Comments about natural deodorants not preventing sweat or odor during workouts, mentioning need for stronger products.","['Let that sink in.🤷🏾\u200d♂️', ""Aren't there different types of magnesium?"", 'Taking magnesium supplements helps decrease odor, too.']","['exercise', 'sweat control', 'natural deodorant', 'dryness', 'odor']",,,,,
true,Increase user confidence in natural deodorant products through proven lasting efficacy.,"Positive user feedback, repeated use, and reports of satisfaction over multiple days.",Users need to feel assured that natural deodorants will work reliably to replace synthetic options.,"Doubts about natural deodorant efficacy, leading to inconsistent use or reverting to antiperspirants.",Comments expressing skepticism or disappointment with natural deodorant performance.,"['I tried natural deodorant once last year and I smelled like the middle school me 😂😂😂', 'Not enough ppl tell yall natural deodorant wearers that yall be MUSTY…', 'You are beautiful']","['confidence', 'user satisfaction', 'natural deodorant', 'reliability', 'trust']",,,,,
true,Be able to access and purchase effective natural deodorant products easily online with clear product information.,"Availability of product links, clear descriptions, and positive purchasing experiences.",Users want seamless access to quality natural deodorants without confusion or difficulty.,Difficulty finding trustworthy natural deodorants or confusion over product ingredients.,Descriptions indicating online purchasing options and product details.,"['If you want to try it, tap in our bio!', 'No synthetic fragrance, paraben, phthalates or aluminum', 'https://wasap.my/60164432702/sakuhanadeo']","['online purchase', 'product info', 'natural deodorant', 'accessibility', 'trust']",,,,,
true,Build a non-toxic armpit detox routine to prepare my body for natural deodorant effectiveness.,Ability to wear natural deodorant without odor for at least 24 hours after detox; reduction in armpit odor as perceived by user; frequency of detox needed to maintain freshness.,"Transitioning to natural deodorant requires detoxing to remove buildup from conventional products, ensuring the natural option works effectively and maintains freshness.","Persistent odor, discomfort with switching to natural deodorant, and ineffective natural products causing frustration and odor persistence.",3630337868947034536,"['if natural deodorant isn’t working for you, you may need to detox your armpits first, which can help remove buildup from conventional deodorants and toxins, giving your body a fresh start', 'add 1 tablespoon of bentonite clay to a bowl, then mix 1 to 2 teaspoons of water, and 1 teaspoon of apple cider vinegar to the clay to create your detox paste, apply it to your armpits, let it sit for 10–15 minutes, then rinse with warm water.', 'repeat a few times a week for best results']","['armpit detox', 'natural deodorant', 'toxins', 'body freshness', 'detox routine']",,,,,
true,Reduce bad breath and body odor by internally neutralizing odor-causing bacteria using natural ingredients.,"Subjective feeling of fresher breath and body odor reduction, measured by user satisfaction and frequency of odor complaints; measurable reduction in odor-related bacteria as reported by user.","Eliminating bad odors from the inside provides longer-lasting freshness and reduces reliance on external products like gum or sprays, improving confidence and social comfort.","Persistent bad breath and body odor, social embarrassment, and discomfort from external freshness products that only mask odors temporarily.",3589881479028356739,"['bad odor comes from the inside and these three ingredients will clean your body from the inside out, helping to eliminate bad breath and other odors', 'chlorophyll, parsley and mint... works by taking out the trash inside your body that causes those nasty odors', ""Dios combines these ingredients in the perfect ratios, all packed into a simple easy to take capsule. And here's the best part. Since it's a capsule, dios travel straight to your gut where it releases its contents and starts neutralizing bad bacteria right at the source.""]","['internal odor control', 'natural ingredients', 'bad breath', 'body odor', 'capsule supplement']",,,,,
true,"Maintain a fresh, odor-free experience throughout the day with natural deodorant products that are skin-friendly and effective.",User reports of lasting freshness for at least 8-12 hours; absence of odor or skin irritation; positive feedback on product comfort and effectiveness.,"Achieving all-day odor control without harsh chemicals or irritation is essential for user confidence and skin health, especially for sensitive skin.","Frequent odor re-emergence, skin irritation, discomfort during the day, and reliance on chemical-based products that may cause irritation or health concerns.",3589881479028356739,"['gak lengket di kulit', '🌿 aman untuk kulit sensitif', 'gak lengket di kulit']","['long-lasting deodorant', 'sensitive skin', 'natural ingredients', 'skin-friendly', 'odor control']",,,,,
true,"Switch to sustainable, eco-friendly deodorant packaging that is plastic-free and refillable.",User adoption of refillable containers; reduction in plastic waste; positive environmental impact as reported by users; ease of use of refill process.,"Reducing plastic waste aligns with eco-conscious values and sustainability efforts, making the product more appealing to environmentally aware users.","Environmental guilt, excessive plastic waste, inconvenience of non-reusable packaging, and limited eco-friendly options in deodorants.",3690102745197739456,"[""it's so hot, it needs almost itself a deodorant. And it is refillable – cute and clever"", 'so heiß, es braucht fast selbst ein Deo. Und es ist wiederbefüllbar – cute und clever']","['refillable packaging', 'eco-friendly', 'plastic-free', 'sustainable', 'reusable']",,,,,
true,Reduce the time spent searching for deodorant in stores by 50%,Percentage decrease in search time or number of store visits,Users want quick access to their preferred natural deodorant to maintain their routine without frustration,Frustration and wasted time when unable to find the product locally,Comments from user inquiries about where to buy,"['¿En donde lo puedo encontrar en maracaibo?', '¿Dónde se puede comprar?', 'Lo he estado buscando y nada']","['availability', 'purchase location', 'convenience']",,,,,
true,Increase user confidence in deodorant's long-lasting odor control to at least 9 hours,Duration in hours the deodorant maintains freshness,"Users need reliable odor protection throughout the day, especially in hot/humid conditions","Unpleasant odor during the day, leading to discomfort and self-consciousness",Post describing long-lasting scent and freshness,"['last up to 9+ hours', 'controls and prevents body odour', 'long-lasting odor protection']","['odor control', 'long-lasting', 'freshness']",,,,,
true,Ensure the deodorant is hypoallergenic and causes no skin rashes,Incidence rate of skin irritation or rashes,"Users with sensitive skin seek gentle, non-irritating deodorants","Skin irritation, rashes, discomfort, discouraging continued use",Product description emphasizing hypoallergenic formulation,"['hypoallergenic, gentle on the skin', 'dermatologist tested', 'no streaks, white marks, or staining']","['hypoallergenic', 'sensitive skin', 'gentle']",,,,,
true,Be able to apply natural deodorant without leaving white marks or stains on clothing,Number of clothing stains or streaks observed after application,Users want a discreet deodorant that doesn't ruin their clothes or leave visible residues,"White marks on clothing, frustration, reduced confidence in product",Product claims about streak-free application,"['no streaks, white marks, or staining', 'dries quickly and invisibly', 'make the switch today']","['streak-free', 'invisible', 'clothing']",,,,,
true,Be able to access and purchase the deodorant online via Amazon or other e-commerce platforms within 3 days,Time from purchase decision to product delivery (in days),Users prefer convenient online shopping options for quick access to products,"Delays and inconvenience in obtaining the deodorant, leading to discontinuation",Comments mentioning Amazon availability,['¿Se puede pedir por Amazon?'],"['online purchase', 'availability', 'convenience']",,,,,
true,Increase user awareness of product scent options and variety to at least 5 different fragrances,Number of scent options available and user reported satisfaction,Users seek diverse scent choices to match personal preferences,Limited options leading to reduced satisfaction or switching to other brands,Comments expressing interest in scent variety,"['I love all the scent options!', 'Ooo these look great!', 'The scent options are so amazing']","['scent variety', 'fragrance options', 'user preference']",,,,,
true,Ensure the deodorant dries within 2 minutes after application,Drying time in minutes,Users want quick application without waiting for the product to dry,"Sticky or wet feeling, inconvenience, delay in using clothes or moving",Product description emphasizing quick drying,['dries quickly'],"['quick dry', 'application convenience', 'drying time']",,,,,
true,Reduce the time spent on applying deodorant to less than 1 minute daily.,Application time in minutes,To save time during daily grooming routines and ensure quick freshness.,Spending too much time on deodorant application causing inconvenience.,Various social media posts and reviews,"[""I'm going out today so let's do some finishing touches. First step is most important is deodorant."", 'No time-consuming steps mentioned, focus on quick application.']","['time-saving', 'quick application', 'efficiency']",,,,,
true,Achieve 24-hour odor protection without reapplication.,Duration in hours that odor remains neutral,To maintain freshness throughout the day without needing to reapply deodorant.,Odor development before day's end leading to discomfort and social embarrassment.,Multiple testimonials about deodorant longevity,"['I’ve finally found a deodorant that actually works — even in Malaysia’s hot, humid weather!', 'Keeps me fresh all day without irritation or stains.']","['long-lasting', 'odor control', 'all-day freshness']",,,,,
true,"Use natural, aluminum-free deodorant that maintains skin health and microbiome integrity.",Lack of irritation and preservation of skin microbiome over at least 24 hours,To avoid skin irritation and support skin health while staying fresh.,"Skin irritation, allergic reactions, or disruption of skin microbiome from conventional deodorants.",Posts by users mentioning natural deodorants and skin health,"[""I'm never going back to conventional deodorant."", 'Formulated with good ingredients like probiotics.']","['natural', 'aluminum-free', 'skin health']",,,,,
true,Ensure deodorant is easy to carry and travel-friendly without leakage or damage.,"Size and packaging suitability for travel, no leakage reported",To maintain freshness on the go without inconvenience.,Leaking or bulky packaging that hampers portability.,User comments about packaging and travel convenience,"['The packaging is cute enough to travel anywhere with.', 'Travel companions for soft, nourished skin and long-lasting freshness.']","['travel-friendly', 'compact', 'leak-proof']",,,,,
true,Provide effective odor protection in hot and humid climates.,Odor control effectiveness in temperatures above 30°C for at least 12 hours,To stay fresh and odor-free despite environmental heat and humidity.,Persistent body odor leading to discomfort and social issues.,Testimonials from users in hot climates,"['It actually works (yes, even in this weather).', 'Keeps me fresh all day without irritation or stains.']","['hot climate', 'humidity', 'odor protection']",,,,,
true,"Offer a deodorant that is cruelty-free, vegan, and environmentally sustainable.","Product labeled as vegan, cruelty-free, and with eco-friendly packaging",To align with user values of ethical and sustainable consumption.,Guilt or ethical concerns from using non-sustainable products.,Descriptions emphasizing vegan and eco-friendly features,"['Vegan and aluminum-free. Wild eben.', 'Organically crafted, stylisch, and eco-conscious.']","['vegan', 'cruelty-free', 'sustainable']",,,,,
true,"Allow users to select deodorants with pleasant, natural scents that last and are suitable for sensitive skin.","Scent longevity in hours, absence of skin irritation",To feel confident and fresh with a pleasing scent without skin sensitivity issues.,"Unpleasant or short-lived scents, skin irritation or allergies.",User reviews praising scent and skin friendliness,"['I love their scentss! Looks like it smells amazing.', 'No irritation, even on sensitive skin.']","['natural scent', 'long-lasting', 'sensitive skin']",,,,,
true,Enable users to buy natural deodorants easily online with confidence in authenticity.,"Availability on trusted e-commerce platforms, verified brand presence",To ensure product authenticity and convenience of purchase.,Risk of counterfeit products and difficulty sourcing online.,Questions about where to buy and authenticity,"['Is it safe to order on Amazon bc low likelihood of buying a fake?', 'Shop now at detroitorant.com']","['online shopping', 'authenticity', 'trusted retailer']",,,,,
true,"Be able to spray, wipe, and apply deodorant on top to maintain all-day odorless freshness.",Ability to achieve odorless feeling after application and maintain it throughout the day.,"Users want to stay fresh and odor-free, especially during hot summer days or active routines, without harsh chemicals or residue.","Feeling of discomfort from odor, inconvenience of reapplication, or frustration with ineffective products.",post_id 3691800389784761274,"['Comment “odorless” if you’re tired of being stanky. Especially now that it’s summer and you want to wear sleeveless clothes.', 'Ever tried a deodorant enhancing armpit toner that helps deo last all day and helps to make your sweat odorless.', 'Watch the magic happen.']","['odorless', 'deodorant', 'all-day', 'application', 'summer']",,,,,
true,Reduce underarm odor by at least 99% using natural deodorant products.,Percentage reduction in armpit odor as perceived subjectively or measured via odor detection tests.,Users seek effective natural alternatives to chemical deodorants that can eliminate odor without irritation or harmful ingredients.,"Persistent body odor causing embarrassment, discomfort, or social inconvenience.",post_id 3691800389784761274,"['Helped my eczema sooo much will never go back !!', 'No bicarb, no flare ups. Just fresh, happy skin.', ""I've had some pretty bad flare-ups in the past which has been frustrating.""]","['odorless', 'natural deodorant', 'effectiveness', 'eczema', 'flare-ups']",,,,,
true,Access information about natural deodorant products within 5 seconds via direct links or quick comments.,"Time taken to access product link or information, ideally within 5 seconds.",Users desire quick and easy access to product details to facilitate purchase decisions or try new products without delay.,"Frustration due to difficulty or delay in finding product links, leading to potential abandonment.",post_id 3691800389784761274,['Comment “odorless” for a direct link to this product!'],"['quick access', 'product link', 'deodorant', 'information']",,,,,
true,Experience long-lasting freshness for at least 48 hours with natural deodorants.,"Duration of effective odor protection, targeted as 48 hours.","Users want reliable protection during long days without reapplication, especially during travel or busy schedules.","Reapplication inconvenience, odor persistence, or compromised confidence.",post_id 3690160013016688459,"['Flora Ruby deodorants come in 6 juicy variants, all with 48 hour odor protection.', 'Long-lasting freshness? Flora Ruby said “we’ve got you”.']","['long-lasting', '48 hours', 'odor protection', 'natural deodorant']",,,,,
