Select,Situation_Name,Description,Key_Contextual_Factors,Associated_Problem_Or_Opportunity,Frequency_Or_Commonality_Indication,Source_Document_Reference,Evidence_Snippets,Keywords,Associated_Problem_Or_Challenge,Key_Framework_Factors
true,Using Refillable and Eco-Conscious Deodorant Products,"Users are engaging with refillable and biodegradable deodorant options, often in the context of reducing plastic waste and supporting sustainability. This occurs when purchasing new products, refilling existing containers, or choosing environmentally friendly packaging.","['Environmental values', 'Refillable packaging', 'Sustainable lifestyle', 'Convenience of eco-friendly refills']","Limited eco-friendly options for deodorants, presenting an opportunity for sustainable product choices that align with environmental values.",Commonly reported in posts promoting sustainability and eco-conscious living,"Posts from ecostore, Wild Refill, and similar brands","['Fresh pits, no plastic 🌏 We’re loving Wild’s natural deodorant – refillable, aluminum-free, and packed in compostable refills.', 'Wild Deodorant recently released a roll on deodorant, I knew I had to give it a go.', 'Sustainability is a non-negotiable, it’s embedded in every decision made.']","['refillable deodorant', 'biodegradable packaging', 'sustainable living', 'eco-conscious', 'plastic-free']",,
true,Searching for Natural Deodorant Options and Information,"Users are exploring different natural deodorant brands, seeking recommendations, or trying to find where to purchase these products. This often happens when they are new to natural products or considering switching from conventional options.","['Online searches', 'Product recommendations', 'Brand discovery', 'Desire for natural ingredients']","Lack of awareness or knowledge about where to buy natural deodorants or which brands are effective, representing an opportunity for education and easy access.",Frequent among users new to natural products or seeking alternatives,Comments and posts asking for product sources and reviews,"['¿Dónde lo puedo conseguir? | Es una excelente rutina de maquillaje | Que opción mas@ideal!', '¿Dónde lo puedo conseguir ? Me gustó que sea natural', 'Podrías hablarme, por que intente enviarte md pero no pude, gracias 😊']","['natural deodorant', 'brand recommendation', 'purchase location', 'product info', 'vegan skincare']",,
true,Applying Natural Deodorants During Active or Social Situations,"Users apply natural deodorants during daily activities such as workouts, social outings, or wellness events to stay fresh. They are concerned with odor control and skin health while engaging in physical or social environments.","['Active lifestyle', 'Social events', 'Workout or physical activity', 'Sensitive skin']","Need for effective, skin-friendly odor control solutions that accommodate active or sensitive skin contexts.",Daily or frequent during active routines,"Posts demonstrating or mentioning application during workouts, social outings, or events","['Wild deodorant for years and absolutely loved the product. Wild recently released a roll on deodorant.', 'Get 20% off on our Natural Deodorants. Say goodbye to chemicals and embrace the freshness of natural ingredients!', 'Most folks who sampled it noticed a big shift in odor control after just a few uses.']","['odor control', 'active lifestyle', 'sensitive skin', 'daily use', 'freshness']",,
true,Using Lemon Juice as Deodorant During Skin Shaving,"Users apply lemon juice directly under their arms to reduce odor, often after shaving, aiming for a natural alternative to commercial deodorants. The environment involves personal grooming routines, typically in a home setting.","['Post-shaving', 'Natural remedy preference', 'Limited access to commercial deodorant', 'Concern about body odor']","Risk of skin irritation, phytophotodermatitis, and skin damage due to acidity; potential skin burns or staining clothes.","Occasional or seasonal use, often tried as a DIY remedy",user comments and ethnographic snippets about lemon use in deodorants,"['""Just use lemon""', '""Literally this is so acidic and will burn the fxck out of you""', '""Contact dermatitis alert + smelly armpits 🤡""']","['lemon juice', 'deodorant', 'skin irritation', 'phytophotodermatitis', 'DIY']",,
true,Attempting Natural Deodorants with DIY Recipes,"Users prepare homemade deodorants using ingredients like magnesium hydroxide, arrowroot powder, zinc oxide, and essential oils, often to avoid chemicals and control ingredients. The process involves mixing, melting, and using specific containers in a home environment.","['Preference for natural products', 'DIY skill level', 'availability of ingredients', 'skin sensitivity']","Achieving effective odor control without skin irritation, ensuring product stability and ease of application.",Regular practice for health-conscious users seeking natural alternatives,posts with recipes and preparation instructions,"['""It’s a really great recipe for a solid magnesium deodorant""', '""Allow it to cool completely with the lid off""', '""You don’t need a lot of it just a little bit and then rub it in""']","['natural deodorant', 'magnesium hydroxide', 'DIY skincare', 'essential oils', 'aromatherapy']",,
true,Using Magnesium Oil or Spray as Deodorant,"Users apply magnesium oil or spray directly to underarms as a natural deodorant, often citing its effectiveness, absence of aluminum, and cost savings. This occurs mainly in personal hygiene routines and fitness recovery contexts.","['Desire for chemical-free deodorant', 'Sensitive skin', 'post-exercise use', 'cost-consciousness']","Effective odor control without skin irritation or allergic reactions, convenience of application.",Daily or frequent use among health-conscious individuals,user comments and video transcripts about magnesium deodorant,"['""I love this!! Been using the magnesium spray for my pits and it truly works""', '""It’s the only thing that really works!""', '""I currently live in a small state of Germany and do not find magnesium hydroxide, what other similar option can I use?""']","['magnesium oil', 'natural deodorant', 'aluminum-free', 'skin sensitivity', 'cost-effective']",,
true,Avoiding Body Odor by Proper Hygiene and Clothing Choices,"Users emphasize daily washing, wearing breathable clothing, and using specific products like natural deodorants or herbal remedies to prevent odor, especially in hot, humid climates.","['Tropical weather', 'hot and humid environment', 'daily personal hygiene', 'clothing choices']","Preventing bacterial growth and odor, maintaining freshness throughout the day.","Daily routine, especially in tropical climates",videos discussing underarm odor prevention techniques,"['""Show a daily to wash away bacteria""', '""Wear loose, pretty blood clothes, especially in our Malaysian weather""', '""Use a good, your neuron. I use your new project, Natural, Geodoroid""']","['hygiene', 'clothing', 'bacteria control', 'humidity', 'freshness']",,
true,Using Alum Bar or Alum Powder for Underarm Care,"Users apply alum-based products post-shaving or daily for odor control, emphasizing technique to avoid skin irritation, with guidance on proper use and application routine.","['Post-shaving', 'natural product preference', 'skin sensitivity', 'DIY routine']","Effective odor control with minimal irritation, avoiding misuse that causes skin burns or rash.","Regular use, often daily after shaving or showering",videos and tips on alum use,"['“Learn how to use alum the right way in this quick guide.”', '“No harsh chemicals. No artificial fragrance. Just pure, natural protection.”', '“It’s all about technique — not pressure.”']","['alum bar', 'natural deodorant', 'post-shaving', 'technique', 'skin care']",,
true,Managing Excessive Sweating and Rash with Natural Remedies,"Users dealing with excessive sweating and skin rash use natural remedies like magnesium deodorant, milk of magnesia, or herbal blends to soothe skin and control odor, often after trying conventional products.","['Sensitive skin', 'rash-prone', 'excessive sweating', 'DIY remedies']","Finding effective, gentle solutions that prevent irritation and manage sweat and odor simultaneously.","Regular, ongoing management for sensitive or reactive skin",user comments about skin reactions and alternative remedies,"['“It controlled the odor but it was itchy and burning”', '“I use magnesium spray as my deo. Thanks so much.. it means a lot to me…”', '“I used magnesium bath flakes with distilled water that worked on my feet”']","['excessive sweating', 'rash', 'gentle remedies', 'magnesium', 'sensitive skin']",,
true,Using Natural Deodorant (Lemon/Lime) at Home,"Users apply lemon or lime juice directly under their armpits as a natural deodorant, often in a spray bottle or by rubbing slices, to manage body odor and sweat without commercial products.","['Home environment', 'Hot weather (e.g., 95+ degrees)', 'Limited access to commercial deodorants', 'Preference for natural remedies']","Desire for a natural, effective, and chemical-free alternative to commercial deodorants that also may improve skin health or reduce odor naturally.","Commonly reported, long-term practice (over 15 years for some users)",User comments and testimonials about lemon/lime deodorant use,"['I’ve used both lemon & lime & they work great.. thing is squeeze the juice first in your hand the rub it in.', 'I never smell EVER 👏👏👏👏❤️❤️❤️❤️', 'I started using limes in 2016 after using for a while..... for me..... my armpit hairs barely grow anymore!']","['natural deodorant', 'lemon', 'lime', 'body odor', 'armpit']",,
true,Applying Lemon/Lime Directly in the Shower or on Skin,"Users squeeze lemon or lime juice onto their palms or directly onto their armpits and rub it in as a quick, natural deodorant solution, often during daily routines or showers.","['Daily hygiene routine', 'Use of fresh citrus slices or juice', 'Preference for quick application', 'Avoiding commercial products']","Seeking a simple, accessible natural deodorant method that leverages household ingredients to prevent odor and sweating.","Frequent, daily use by long-term proponents",User testimonials and comments,"['squeeze the juice first in your hand the rub it in.. feels great.', 'I squeeze it in a glass spray bottle and leave it in my bathroom. I never ever ever have BO.', 'I’ve used lemon for 5 years. I squeeze it in a glass spray bottle and leave it in my bathroom.']","['citrus application', 'daily routine', 'armpit', 'natural deodorant', 'squeeze and rub']",,
true,Concerns About Skin Irritation and Sun Sensitivity from Citrus Use,"Users report that applying lemon or lime juice can cause skin irritation, burns, or hyperpigmentation, especially when exposed to sunlight after application, which can lead to serious skin reactions like phytophoto-dermatitis.","['Sun exposure', 'Sensitive skin', 'Use of citrus on skin', 'Risk of burns and darkening']",,"Known risk, occasional reports, cautionary advice",Expert comments and user warnings,"['Please do not do this and wear a tank tops in the sun. The chemical reaction of the sun and the lime juice equals 3rd degree burns.', 'Lemon juice under the arms can be super irritating to rashes, hyper pigmentation.', 'You have to be very careful, because lemon juice under the arms can cause a really aggressive rash called phytophoto-dermatitis.']","['skin irritation', 'sun sensitivity', 'hyperpigmentation', 'burns', 'phytophoto-dermatitis']","Risk of skin damage, irritation, and hyperpigmentation when using citrus as deodorant, especially in sunny environments.",
true,Using Citrus as a Bacterial Body Odor Reducer,"Users mention that lemon or lime juice may help reduce bacterial load under the arms, which is responsible for odor, by decreasing bacteria that break down sweat and cause smell.","['Bacterial odor', 'Natural remedy', 'Avoidance of chemicals', 'Use of citrus for hygiene']","Finding a natural, bacterial-based solution to body odor without synthetic chemicals.","Anecdotal, supported by some studies but with caution",Expert comment about lemon's antibacterial effect,"[""Lemon slice under your arm actually can help with body odor. There's a small study that shows this."", 'Lemon juice is thought to work by reducing the burden of bacteria under the arms.']","['bacterial reduction', 'body odor', 'natural antibacterial', 'lemon', 'armpit']",,
true,"Using Alternative Natural Deodorant Substitutes (Alum Stone, Fennel Stone, Magnesium, etc.)","Users utilize mineral stones like alum or fennel, magnesium sprays, or powders as a natural, residue-free deodorant alternative, often in regions where traditional deodorants are unavailable or undesirable.","['Limited access to commercial deodorants', 'Preference for natural/mineral options', 'Long-lasting effects', 'Regional availability']","Seeking effective, natural, and chemical-free deodorant options that are easy to use and long-lasting.","Common among natural deodorant users, longstanding practice","User comments on alum, fennel, magnesium, and mineral salts","['Have you tried alum stone. I bought a half a kilo in Mexico for $20 pesos. I’ll probably last me two decades.', 'In Indonesia, we have fennel stone, it is used as deodorant.', 'Mineral salt from Sprouts for a few years with great results.']","['mineral stones', 'alum', 'magnesium', 'natural mineral deodorant', 'regional options']",,
true,Using Rubbing Alcohol or Hydrogen Peroxide as Deodorant,"Users apply rubbing alcohol or hydrogen peroxide directly to the underarms as a quick, effective way to eliminate odor without commercial deodorants, sometimes after a few weeks of consistent use.","['Availability of alcohol-based solutions', 'Desire for quick and effective odor control', 'Avoidance of traditional deodorants']","Finding an inexpensive, readily available solution for odor control that is effective and easy to use.",Reported as effective after short-term use,User comments about alcohol and peroxide use,"['Rubbing alcohol works every time.', 'I started using rubbing alcohol two weeks ago and have not had to use deodorant.', 'You can also use hydrogen peroxide.']","['rubbing alcohol', 'hydrogen peroxide', 'quick solution', 'odor control']",,
true,Concerns and Risks of Citrus-Based Deodorants,"Users warn that lemon or lime as deodorants can cause skin irritation, rashes, or burns, especially when exposed to sunlight, and are generally considered less practical due to the risk of skin damage.","['Sun exposure', 'Sensitive skin', 'Risk of burns and rashes']","Need for safer, non-irritating natural deodorant alternatives that do not pose skin damage risks.","Widely acknowledged risks, caution advised",User comments and dermatologist warnings,"['Lemon as deodorant can help with body odor, but it can be pretty irritating and cause brutal rashes in the sun.', 'Please do not do this and wear a tank tops in the sun. The chemical reaction of the sun and the lime juice equals 3rd degree burns.', 'Lemon juice under the arms can be super irritating to rashes, hyper pigmentation.']","['skin irritation', 'burns', 'rashes', 'sun sensitivity', 'danger']",,
true,Participating in a Instagram Giveaway,"User is engaging with a promotional post on Instagram that offers a giveaway event, involving steps like following an account, liking, commenting, reposting, and tagging friends to win prizes.","['Social media platform (Instagram)', 'Event timing (November 21-27, 2023)', 'Interest in free products or cash rewards', 'Need for social engagement']","Opportunity to win free products or cash by actively engaging with social media content, fulfilling user desire for rewards or incentives.",Common occurrence for followers participating in brand promotions,3240861691200485794,['Caranya👇🏻 1. Wajib follow Instagram @ciaraindonesia 2. Spam Like dan Komen postingan @ciaraindonesia 3. Repost postingan ini ke story mention akun @ciaraindonesia 4. Komen “Happy 100k” dan tag teman kamu sebanyaknya untuk ikutan Giveaway ini juga!'],"['giveaway', 'social media', 'Instagram', 'promotion', 'reward']",,
true,Trying Natural Deodorant for the First Time,"User is exploring a natural deodorant product, mentioning scents like pumpkin spice and vanilla, and expressing interest in eco-friendly, refillable packaging. They are viewing videos and comments about the product's scent and packaging quality.","['Interest in natural and eco-friendly products', 'Seeking alternatives to conventional deodorants', 'Engagement with social media videos and reviews', 'Preference for appealing scents']","Opportunity to find effective, natural deodorants that are environmentally friendly and pleasant-smelling, addressing concerns about chemical ingredients and plastic waste.",Frequent among consumers interested in natural skincare and deodorants,3601538047641067317,"[""Used the deodorant and said: 'Let’s refill my natural deodorant from wild. I’m going with the pumpkin spice and vanilla scent. Reusable case. No harsh chemicals used. Smells yummy.'""]","['natural deodorant', 'eco-friendly', 'refillable', 'scents', 'chemical-free']",,
true,Seeking Solutions for Body and Breath Odor Internally,"User is watching videos where experts recommend internal capsules containing ingredients like chlorophyll, parsley, and mint to combat bad breath and body odor from the inside out, emphasizing internal health and hygiene.","['Concern about bad breath and body odor', 'Interest in internal health solutions', 'Exposure to educational content on social media', 'Preference for natural supplements']","Opportunity to address persistent body and breath odors through internal detoxification, reducing reliance on external products like sprays or mints.",Common among health-conscious users seeking holistic odor control,3589881479028356739,"[""Video transcript: 'Bad odor comes from the inside and these three ingredients will clean your body from the inside out, helping to eliminate bad breath and other odors.'""]","['bad breath', 'internal detox', 'chlorophyll', 'natural supplements', 'body odor']",,
true,Looking for a Natural Solution for Personal Odor and Hygiene,"User comments on a video where a doctor recommends natural supplements like chlorophyll, mint, and parsley to improve personal odor and hygiene, expressing interest in purchasing these products and concern about fake or ineffective products.","['Interest in personal hygiene', 'Concern about authenticity and effectiveness', 'Seeking natural and safe products', 'Engagement through comments']","Opportunity to find trustworthy, natural odor-control products that improve personal hygiene without harmful chemicals or fake claims.",Frequent among users researching natural hygiene solutions,3690102745197739456,"[""Comments include: '¿Dóndé se consiguen?', 'Es un video falso esa no es su voz!', and 'El precio por favor'.""]","['personal hygiene', 'natural products', 'authenticity', 'odor control', 'health']",,
true,Exploring Novel and Fun Deodorant Scents,"User is viewing videos and posts about unique, candy-inspired deodorant scents such as strawberry & cream, cola, watermelon, and cherry, emphasizing a playful, fun approach to personal care that combines scent variety with sustainability.","['Interest in playful or novelty scents', 'Preference for sustainable, refillable packaging', 'Engagement with visual and video content on social media', 'Desire for a fun personal care routine']","Opportunity to enjoy personalized, enjoyable scents in deodorants that also prioritize sustainability and eco-friendliness.","Likely common among young consumers seeking fun, stylish personal care products",3692223418436511658,"[""Description of candy-inspired deodorants: 'Strawberry & Cream Deo – Süßer als dein letzter Crush.', 'Cola Deo & Lip Balm – Cola für die Haut, nicht für den Magen.'""]","['fun scents', 'candy-inspired', 'sustainable', 'personal care', 'novelty']",,
true,"Looking for Local, Natural Deodorant Options","User discusses a local brand of deodorant, emphasizing features like being natural, skin-friendly, alcohol-free, and non-sticky, with interest in purchasing through online platforms like Shopee or TikTok Shop.","['Preference for local brands', 'Interest in natural and skin-friendly products', 'Use of online shopping platforms', 'Focus on product safety and comfort']","Opportunity to discover and purchase safe, natural deodorants that are suitable for sensitive skin and easily accessible online.",Common among consumers seeking local and natural personal care options,3692223418436511658,"[""Description: 'Afara hadir untuk kamu yang ingin tampil wangi tanpa drama, aman untuk kulit sensitif, tanpa alkohol, dan gak lengket di kulit.'""]","['local brand', 'natural deodorant', 'skin-friendly', 'online shopping', 'sensitive skin']",,
true,Using Natural Deodorant During Post-Vacation Detox,"A user describes their attempt to detox their underarms with clay and natural products after returning from vacation, leading to an unpleasant odor, highlighting the challenge of maintaining freshness with natural deodorants.","['Post-vacation recovery', 'Natural detox methods', 'Unpleasant odor after natural product use']","Natural deodorants may not provide sufficient odor control, especially after detox routines, prompting a need for more effective solutions.","Occasional situation, particularly after using natural detox methods",Count,"['I smelled like full-quart basketball at the LA Fitness.', 'These underarms, they need antiperspirant with some type of fragrance on it.', 'I got my bitten veil, Arkansas clay, and put it up underneath there.']","['natural deodorant', 'detox', 'odor', 'clay', 'post-vacation']",,
true,Choosing Between Natural and Antiperspirant Deodorants,"Users discuss their preferences for deodorants, with some opting for natural options like Native or Humble, and others relying on traditional antiperspirants like Degree, often based on effectiveness and personal needs.","['Personal scent preference', 'Effectiveness of deodorant', 'Health considerations']","Users seek deodorants that balance efficacy with natural ingredients, often facing trade-offs between natural scents and odor control.",Common scenario; frequent decision-making,Count,"['I need all the aluminum do you hear me!!!', ""Meanwhile I'm over here wearing Degree men's 😂"", 'I use glycolic acid in a roll on applicator straight out the shower.']","['natural deodorant', 'aluminum', 'effectiveness', 'personal preference']",,
true,Experiencing Odor with Natural Deodorants,"Multiple users share their experiences of natural deodorants failing to control odor, often leading to feelings of mustiness or smelling like a middle schooler after use.","['Use of natural deodorant', 'High temperature or physical activity', 'Odor control failure']","Natural deodorants may not always provide reliable odor protection, creating a need for more effective or long-lasting natural options.",Frequent complaint among natural deodorant users,Count,"['I tried natural deodorant once last year and I smelled like the middle school me 😂', ""Aren't there different types of magnesium?"", 'It burns on shaved pits, is there anything that can be done to prevent this?']","['natural deodorant', 'odor failure', 'musty smell', 'magnesium']",,
true,Looking for Effective Natural Deodorant Alternatives,"Users are exploring various natural deodorant options like Humble, Native, chlorophyll drops, and magnesium sprays, seeking products that effectively control odor without harsh chemicals.","['Preference for natural ingredients', 'Desire for odor control', 'Avoidance of chemicals']",Need for reliable natural deodorants that work as well as or better than conventional products.,Ongoing search; frequent experimentation,Count,"['Give the all-natural deodorant one more try I promise you it works.', 'Trying magnesium spray and chlorophyll daily for odor control.', 'Stopped using store-bought deodorant when my mom got cancer.']","['natural deodorant', 'magnesium', 'chlorophyll', 'odor control']",,
true,"Using Alternative Natural Deodorant Products (e.g., Magnesium Spray)","A user discusses trying magnesium spray as a natural deodorant alternative, noting its benefits and concerns such as possible skin irritation or ineffectiveness over time.","['Seeking chemical-free options', 'Skin sensitivity', 'Natural detox methods']",Identifying effective natural deodorant substitutes that are gentle and non-irritating.,Frequent experimentation with natural alternatives,Count,"['Deodorant? Is this done with Epsom salts and water?', 'No smell but are there stains on the shirt from sweat?', 'Uses straight magnesium and asks where to buy.']","['magnesium spray', 'natural deodorant', 'skin irritation', 'Epsom salts']",,
true,Preference for Long-lasting and Effective Natural Deodorants,"Users express the need for natural deodorants that last all day, with some mentioning specific brands or formulations like bergamot scent or gel consistency for longer freshness.","['Long day activities', 'Preference for scent and freshness', 'Natural ingredients']",Finding natural deodorants that provide all-day odor control without synthetic chemicals.,Consistent concern among natural product users,Count,"['This solid gel deodorant is so good if you’re a natural deodorant girly!', 'I need long-lasting fresh results and I usually gravitate to super fresh scented deodorants.', 'The bergamot fragrance is so fresh but has depth and warmth that’s so luxe!']","['long-lasting', 'natural deodorant', 'scents', 'gel deodorant']",,
true,Transitioning from Conventional to Natural Deodorants,"A user shares their experience of switching to natural deodorants over several years, emphasizing the importance of avoiding chemicals for health reasons and maintaining freshness.","['Health concerns', 'Long-term switch', 'Chemical avoidance']",Encouraging and supporting users in transitioning to natural deodorants while maintaining effectiveness.,"Ongoing, long-term process",Count,"[""I haven't been musty since '93 after switching to natural deodorant."", 'Stopped using store-bought deodorant when my mom got cancer.', 'All our cosmetic range is free from palm oil with no synthetic fragrance or petrochemicals.']","['natural switch', 'health', 'chemical-free', 'long-term']",,
true,Preparing for a Day Out with Personal Grooming,"User is getting ready to go out, focusing on personal grooming activities like applying deodorant, fragrance, and accessories to complete their look.","['Time pressure', 'Morning routine', 'Personal grooming environment']",Seeking to feel fresh and confident before leaving the house.,Common daily occurrence,transcript from user video about daily grooming routine,"[""I'm going out today so let's do some finishing touches."", 'First step is most important is deodorant. I switched to natural deodorant for like seven years now.', ""This is the final look. Let me know what you guys think you'd do for yet to check out Salt and Stone.""]","['grooming', 'deodorant', 'fragrance', 'accessories', 'morning routine']",,
true,Using Natural Deodorant During Physical Activity or Daily Wear,"User applies natural deodorant, often in the context of staying fresh during activities like gym workouts or daily errands, emphasizing the use of natural, aluminum-free products.","['Post-workout or active lifestyle', 'Preference for natural ingredients', 'Long-lasting protection needs']","Need for effective, natural deodorant that lasts through physical activity without irritation.",Frequently reported among users seeking natural options,"multiple social media posts about natural deodorants (e.g., Detroitorant, Native, Wild, UU Project)","[""I'm never going back to regular deodorant. This creamy gel natural deodorant from Salt and Stone is my current favorite."", 'I’ve finally found a deodorant that actually works — even in Malaysia’s hot, humid weather! ☀️💦', 'Wild is mein Go-To-Deo: 100\u202f% natürlich, nachfüllbar & stylisch 💚']","['natural deodorant', 'long-lasting', 'aluminum-free', 'active lifestyle', 'humidity']",,
true,Applying Deodorant Before or After Shower,"User discusses the timing of deodorant application, often applying at night before bed to reduce sweating and maximize effectiveness, especially for antiperspirants and treatments for hyperhidrosis.","['Nighttime routine', 'Showering in the morning', 'Desire for long-lasting dryness']",Achieving optimal sweat control and freshness throughout the day with proper timing of application.,Common among users managing hyperhidrosis or seeking prolonged dryness,"comments and videos about antiperspirant use, e.g., maximumskin, hyperhidrosis discussions","['The best way to use it is at night time because it allows the product to penetrate into the sweat ducts.', 'I use this on my forehead, on my nose/nasolabial folds, and I know people that use it under the breast to stop sweating there too.', 'After the shower, blow dry the armpits after toweling off and before anti-perspirant application. Works so much better!']","['application timing', 'night routine', 'hyperhidrosis', 'long-lasting protection', 'showering']",,
true,Deodorant Shopping and Testing in Retail Settings,"User visits physical stores to try testers and find the right natural deodorant, experiencing the product firsthand before purchase.","['In-store testing', 'Presence of testers', 'desire to evaluate scent and texture']","Finding a suitable natural deodorant that meets personal preferences for scent, texture, and effectiveness.","Occasional, especially for new product discovery",Zentia product testing at Foodmax Puri Casablanca,"['Kini produk Zentia kesayangan kamu hadir di Foodmax Puri Casablanca ! kamu bisa cobain semua tester dari produk Zentia loh...', 'Rasakan sendiri kualitas dan keharuman alami dari Zentia sebelum beli.']","['retail testing', 'product sampling', 'natural deodorant', 'customer experience']",,
true,Using Deodorant in Hot or Humid Weather,"User relies on effective deodorants to stay fresh and odor-free during extreme heat or humidity, often emphasizing the need for long-lasting protection in such environments.","['High temperature', 'Humid climate', 'outdoor or summer conditions']",Preventing sweat and odor in challenging weather conditions with reliable deodorants.,Common during summer or heat waves,"posts about heat wave and deodorant effectiveness (e.g., Every Man Jack, Wild, UU Project)","[""Heat wave got you sweating like you're running a marathon in a parka? 🥵"", 'I’ve finally found a deodorant that actually works — even in Malaysia’s hot, humid weather! ☀️💦', '🌊 Ready for a fresh summer breeze – ohne Plastik, ohne Kompromisse!']","['hot weather', 'humidity', 'long-lasting', 'summer', 'performance']",,
true,Using Deodorant for Sensitive Skin or Specific Needs,"User selects deodorants formulated for sensitive skin, often free from irritants like aluminum and alcohol, and sometimes for specific applications like face or scalp.","['Sensitive skin', 'allergy concerns', 'specific application areas (face, scalp)']","Finding gentle, effective deodorants suitable for sensitive skin or special areas.",Regular among users with sensitive skin or specific requirements,"posts about sensitive skin deodorants (e.g., UU Project, Apivita)","['I love how lightweight and gentle it feels — like a skincare mist, but for your underarms!', 'No aluminium, no parabens, no synthetic fragrance 🙌', 'Hoy quiero recomendarles el desorante que uso. Este desorante es un rolón. Lo uso, porque no tiene el ruminio, porque no tiene alcohol, porque está formulado con un 98% de ingredientes, totalmente naturales.']","['sensitive skin', 'gentle', 'aluminum-free', 'natural ingredients', 'face/scalp']",,
true,Replacing or Upgrading Deodorant Products,"User considers switching or has switched to new deodorants after trying various brands, often citing better performance, natural ingredients, or specific scent preferences.","['Product dissatisfaction', 'seeking better effectiveness', 'preference for natural or specific scents']",Finding a more suitable or effective deodorant for daily use.,Frequent among users experimenting with different brands,reviews and comments about deodorant experiences,"['I’ve tried both scents: 🌸 Whisper Sweet – a soft, fruity-floral scent that smells so refreshing', ""I bought the 96 hours one. It didn't work."", 'I love you pretty girl😍.']","['product comparison', 'brand switching', 'effectiveness', 'scent preferences']",,
true,Student Illness and Lack of Support,"A student experiences frequent vomiting during the school day and feels unsupported by the school nurse, who dismisses symptoms and refuses to call parents. The student needs to have their phone accessible to contact parents during school hours, especially when feeling unwell or during a panic attack.","['Health emergencies', 'School nurse response', 'Need for communication with parents', 'Student experiencing illness or mental health crisis']",Lack of effective support and communication resources for students facing health or mental health issues at school.,Recurrent problem based on multiple mentions,user_experience_001,"['I was throwing up throughout the day and my nurse accused me of having an ED so I’d like to have my phone on me.', 'Nurses don’t support me when I say I’m having a panic attack and I need to call my mom.', 'I had to call my parents so I could go home because I was throwing up.']","['health support', 'phone access', 'student wellness', 'mental health', 'school nurse']",,
true,School Phone Policies and Student Communication,"Students are subject to strict phone policies, including confiscation, fines, or mandatory storage in pouches or lockers. Some students and parents believe phones hinder learning and social interaction, while others see benefits in controlled use or emergency access.","['School policies on phones', 'Use of Yondr pouches or lockers', 'Discipline enforcement', 'Emergency communication needs', 'Parental concerns']",Balancing effective discipline and safety with students’ need for communication and social interaction.,Common issue across multiple schools,user_experience_002,"['Our school charges $100 fine if they’re caught using their phone in school. It’s working!', 'Students are interacting and learning, critical thinking skills are improving and less students than ever failed my class this year.', 'My school has never allowed phones since day one. I can’t imagine allowing kids phones during school.']","['phone confiscation', 'Yondr pouches', 'student discipline', 'emergency communication', 'school safety']",,
true,Impact of Phone Ban on School Environment,"Schools implementing strict phone bans report reductions in fighting, drama, and distractions, with increased social interaction during lunch and improved classroom engagement. Some schools see this as a transformative change.","['No phone policy enforcement', 'Positive behavioral changes', 'Increased face-to-face interaction', 'School-wide discipline measures']",Enhancing school climate and student engagement through technology restrictions.,Frequently reported among schools with strict policies,user_experience_003,"['Our school completely changed for the better once we had a no cell phone policy. Fighting went down significantly, drama decreased and kids talk and play at lunch!!', 'Life changing.', 'No school should allow phones.']","['behavior improvement', 'social interaction', 'school climate', 'no phone policy', 'student engagement']",,
true,Emergency and Parent-Child Communication Concerns,"Parents express concern that banning phones limits immediate communication during emergencies, lockdowns, or threats, leading to anxiety and reliance on the school's existing communication channels. Some worry about safety and the ability to contact their children quickly.","['School lockdowns', 'Emergency situations', 'Parent safety concerns', 'Limited direct communication', 'Use of school phones or limited emergency access']",Ensuring reliable communication channels for safety without compromising discipline policies.,Common concern among parents in schools with phone bans,user_experience_004,"[""My biggest concern with not allowing students access to their phones is around parent-child communication surrounding 'credible threats'."", 'In an emergency situation if it’s safe to use phones, someone on the admin side would have access to unlock the pouches.', 'Communication around lockdowns from the school itself to parents has been sparse.']","['emergency communication', 'parent safety', 'lockdowns', 'school safety', 'student contact']",,
true,Student Social and Behavioral Changes Due to Phone Restrictions,"Students and teachers note that restrictions on phones lead to more face-to-face interaction, less social media distraction, and improved critical thinking and classroom engagement. Some students dislike being disconnected but acknowledge behavioral benefits.","['Phone bans or restrictions', 'Increased social interaction', 'Reduced social media use', 'Behavioral improvements', 'Classroom engagement']",Promoting meaningful social interactions and reducing addiction or distraction from devices.,Widely observed in schools with enforced policies,user_experience_005,"['Students talk and play at lunch.', 'Fighting and drama decreased.', 'Students are interacting and learning, critical thinking skills are improving.']","['social interaction', 'distraction reduction', 'behavior change', 'face-to-face', 'student engagement']",,
true,Using Natural Deodorant During Hot Weather,"Users seek natural deodorants that provide effective odor protection during hot or humid conditions, often when wearing sleeveless or summer clothes. They are looking for products that last all day without causing skin irritation or odor.","['Summer season', 'High temperatures', 'Wearing sleeveless clothes', 'Need for long-lasting freshness']",Difficulty finding natural deodorants that maintain effectiveness in heat without causing irritation or losing scent.,"Commonly reported, especially in warm climates or seasons",post_id=3691800389784761274,"['Comment “odorless” if you’re tired of being stanky. Especially now that it’s summer and you want to wear sleeveless clothes.', 'I’m already obsessed 😍 Living in Florida means the heat is real almost year-round 🔥☀️—so I’m always on the hunt for products that actually work without harsh ingredients.', 'I’m so excited to put it to the test during these steamy Florida days.']","['summer', 'heat', 'long-lasting', 'natural deodorant', 'odour protection']",,
